Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		1.45		373	"42°24'26"""	"90°21'07"""	0''	" 88° 3' 55"""	" 88° 3' 55"""	67.333  	67.333  	67.29  	0.00  	2.27  	0.00  	-0.22  	0.00  	9711.296   	9649.182   	21.276   	373				D									64	320	373	1.45	"42°24'26"""	67.333	"90°21'07"""	D	SS												
		1.45		374	"42°21'35"""	"90°09'38"""	0''	" 88° 0' 54"""	" 88° 0' 54"""	67.222  	67.222  	67.18  	0.00  	2.33  	0.00  	-0.38  	0.00  	9711.183   	9649.237   	21.119   	374				T									66	320	374	1.45	"42°21'35"""	67.222	"90°09'38"""	T	SS												
		1.45		375	"42°15'26"""	"89°39'00"""	0''	" 88° 4' 55"""	" 88° 4' 55"""	67.134  	67.127  	67.09  	0.00  	2.25  	0.00  	0.80  	0.00  	9711.090   	9649.155   	22.293   	375				T									68	320	375	1.45	"42°15'26"""	67.134	"89°39'00"""	T	SS												
		1.45		376	"42°09'29"""	"89°39'01"""	0''	" 88° 8' 58"""	" 88° 8' 58"""	67.034  	67.027  	66.99  	0.00  	2.16  	0.00  	0.79  	0.00  	9710.993   	9649.073   	22.291   	376				T									70	320	376	1.45	"42°09'29"""	67.034	"89°39'01"""	T	SS												
		1.45		377	"42°02'13"""	"89°49'12"""	0''	" 88° 1' 52"""	" 88° 1' 52"""	66.827  	66.820  	66.78  	0.00  	2.30  	0.00  	0.79  	0.00  	9710.781   	9649.204   	22.288   	377				Ji									72	320	377	1.45	"42°02'13"""	66.827	"89°49'12"""	Ji	SS												
		1.45		378	"39°35'26"""	"89°47'33"""	0''	" 85° 4' 55"""	" 85° 4' 55"""	64.216  	64.208  	63.97  	0.00  	5.50  	0.00  	0.79  	0.00  	9707.973   	9652.413   	22.286   	378				Ji									74	320	378	1.45	"39°35'26"""	64.216	"89°47'33"""	Ji	SS												
		1.45		379	"39°01'12"""	"89°45'52"""	0''	" 85° 0' 51"""	" 85° 0' 51"""	63.706  	63.698  	63.46  	0.00  	5.54  	0.00  	0.82  	0.00  	9707.458   	9652.444   	22.316   	379				C									76	320	379	1.45	"39°01'12"""	63.706	"89°45'52"""	C	SS												
		1.45		380	"38°24'03"""	"89°52'22"""	0''	" 84° 3' 52"""	" 84° 3' 52"""	63.106  	63.097  	62.76  	0.00  	6.52  	0.00  	0.86  	0.00  	9706.760   	9653.433   	22.361   	380				T									78	320	380	1.45	"38°24'03"""	63.106	"89°52'22"""	T	SS												
		1.45		381	"37°41'31"""	"90°32'54"""	0''	" 83° 0' 50"""	" 83° 0' 50"""	62.254  	62.254  	61.79  	0.00  	7.57  	0.00  	-0.24  	0.00  	9705.793   	9654.480   	21.260   	381				T1L									80	320	381	1.45	"37°41'31"""	62.254	"90°32'54"""	T1L	SS												
		1.45		382	"3°59'22"""	"90°36'58"""	0''	" 49° 8' 51"""	" 49° 8' 51"""	48.432  	48.432  	36.63  	0.00  	31.68  	0.00  	-0.29  	0.00  	9680.635   	9678.588   	21.211   	382				T1L									82	320	382	1.45	"3°59'22"""	48.432	"90°36'58"""	T1L	SS												
		1.45		383	"3°09'01"""	"90°18'04"""	0''	" 49° 8' 50"""	" 49° 8' 50"""	48.337  	48.337  	36.56  	0.00  	31.62  	0.00  	-0.31  	0.00  	9680.563   	9678.526   	21.184   	383				T									84	320	383	1.45	"3°09'01"""	48.337	"90°18'04"""	T	SS												
		1.45		384	"359°18'09"""	"90°04'27"""	0''	" 45° 7' 58"""	" 45° 7' 58"""	48.003  	48.003  	34.02  	0.00  	33.86  	0.00  	-0.26  	0.00  	9678.023   	9680.773   	21.240   	384				C									86	320	384	1.45	"359°18'09"""	48.003	"90°04'27"""	C	SS												
		1.45		385	"357°04'05"""	"90°06'08"""	0''	" 43° 3' 54"""	" 43° 3' 54"""	47.976  	47.976  	32.76  	0.00  	35.05  	0.00  	-0.29  	0.00  	9676.760   	9681.959   	21.212   	385				C									88	320	385	1.45	"357°04'05"""	47.976	"90°06'08"""	C	SS												
		1.45		386	"351°10'00"""	"86°47'00"""	0''	" 36° 59' 49"""	" 36° 59' 49"""	47.765  	47.655  	28.68  	0.00  	38.06  	0.00  	3.03  	0.00  	9672.679   	9684.969   	24.532   	386				C									90	320	386	1.45	"351°10'00"""	47.765	"86°47'00"""	C	SS												
		1.45		387	"347°58'02"""	"86°54'01"""	0''	" 33° 7' 51"""	" 33° 7' 51"""	47.813  	47.700  	26.07  	0.00  	39.95  	0.00  	3.08  	0.00  	9670.072   	9686.854   	24.577   	387				C									92	320	387	1.45	"347°58'02"""	47.813	"86°54'01"""	C	SS												
		2.5		388	"90°04'47"""	"107°39'52"""	0''	" 136° 3' 56"""	" 136° 3' 56"""	9.335  	8.920  	6.19  	0.00  	-6.42  	0.00  	-4.00  	0.00  	9650.190   	9640.485   	17.495   	388				D1L									94	320	388	2.5	"90°04'47"""	9.335	"107°39'52"""	D1L	SS												
		2.5		389	"90°04'37"""	"98°54'53"""	0''	" 136° 3' 56"""	" 136° 3' 56"""	19.300  	19.109  	13.26  	0.00  	-13.76  	0.00  	-3.96  	0.00  	9657.260   	9633.147   	17.539   	389				D1L									96	320	389	2.5	"90°04'37"""	19.3	"98°54'53"""	D1L	SS												
		2.5		390	"90°04'34"""	"95°41'40"""	0''	" 136° 3' 53"""	" 136° 3' 53"""	29.655  	29.541  	20.50  	0.00  	-21.27  	0.00  	-3.84  	0.00  	9664.498   	9625.635   	17.654   	390				D1L									98	320	390	2.5	"90°04'34"""	29.655	"95°41'40"""	D1L	SS												
		2.5		391	"90°04'24"""	"92°03'59"""	0''	" 136° 3' 53"""	" 136° 3' 53"""	36.359  	36.336  	25.21  	0.00  	-26.17  	0.00  	-2.55  	0.00  	9669.212   	9620.742   	18.945   	391				T1L									100	320	391	2.5	"90°04'24"""	36.359	"92°03'59"""	T1L	SS												
		2.5		392	"90°04'36"""	"102°27'19"""	0''	" 136° 3' 55"""	" 136° 3' 55"""	7.632  	7.462  	5.18  	0.00  	-5.37  	0.00  	-2.85  	0.00  	9649.178   	9641.535   	18.645   	392				T1L									102	320	392	2.5	"90°04'36"""	7.632	"102°27'19"""	T1L	SS												
		2.5		393	"90°04'35"""	"103°07'59"""	0''	" 136° 3' 54"""	" 136° 3' 54"""	6.149  	5.989  	4.16  	0.00  	-4.31  	0.00  	-2.65  	0.00  	9648.156   	9642.596   	18.852   	393				T1L									104	320	393	2.5	"90°04'35"""	6.149	"103°07'59"""	T1L	SS												
		1.45		394	"90°04'39"""	"104°30'39"""	0''	" 136° 3' 58"""	" 136° 3' 58"""	3.679  	3.570  	2.48  	0.00  	-2.57  	0.00  	-1.09  	0.00  	9646.478   	9644.338   	20.407   	394				T1L									106	320	394	1.45	"90°04'39"""	3.679	"104°30'39"""	T1L	SS												
		1.45		395	"90°04'28"""	"93°34'39"""	0''	" 136° 3' 57"""	" 136° 3' 57"""	2.650  	2.646  	1.84  	0.00  	-1.91  	0.00  	-0.34  	0.00  	9645.837   	9645.003   	21.155   	395				T									108	320	395	1.45	"90°04'28"""	2.65	"93°34'39"""	T	SS												
		1.45		396	"267°25'44"""	"95°34'38"""	0''	" 313° 4' 53"""	" 313° 4' 53"""	1.568  	1.562  	-1.14  	0.00  	1.07  	0.00  	-0.34  	0.00  	9642.860   	9647.975   	21.159   	396				T									110	320	396	1.45	"267°25'44"""	1.568	"95°34'38"""	T	SS												
		1.45		397	"267°25'39"""	"103°16'02"""	0''	" 313° 4' 58"""	" 313° 4' 58"""	1.664  	1.621  	-1.18  	0.00  	1.11  	0.00  	-0.58  	0.00  	9642.817   	9648.015   	20.920   	397				D									112	320	397	1.45	"267°25'39"""	1.664	"103°16'02"""	D	SS												
		1.45		398	"267°25'40"""	"102°18'23"""	0''	" 313° 4' 49"""	" 313° 4' 49"""	1.901  	1.859  	-1.36  	0.00  	1.27  	0.00  	-0.60  	0.00  	9642.644   	9648.178   	20.898   	398				D									114	320	398	1.45	"267°25'40"""	1.901	"102°18'23"""	D	SS												
		1.45		399	"267°25'40"""	"94°55'57"""	0''	" 313° 4' 49"""	" 313° 4' 49"""	2.100  	2.095  	-1.53  	0.00  	1.43  	0.00  	-0.35  	0.00  	9642.471   	9648.339   	21.148   	399				T									116	320	399	1.45	"267°25'40"""	2.1	"94°55'57"""	T	SS												
		1.45		400	"267°25'53"""	"67°52'10"""	0''	" 313° 4' 52"""	" 313° 4' 52"""	7.764  	7.149  	-5.22  	0.00  	4.88  	0.00  	2.83  	0.00  	9638.780   	9651.791   	24.327   	400				C									118	320	400	1.45	"267°25'53"""	7.764	"67°52'10"""	C	SS												
		1.45		401	"267°31'31"""	"77°18'38"""	0''	" 313° 0' 50"""	" 313° 0' 50"""	12.734  	12.414  	-9.08  	0.00  	8.47  	0.00  	2.64  	0.00  	9634.924   	9655.377   	24.133   	401				C									120	320	401	1.45	"267°31'31"""	12.734	"77°18'38"""	C	SS												
		1.45		402	"91°05'25"""	"89°52'32"""	0''	" 137° 4' 54"""	" 137° 4' 54"""	39.608  	39.602  	26.97  	0.00  	-29.00  	0.00  	0.47  	0.00  	9670.969   	9617.907   	21.965   	402				T									122	320	402	1.45	"91°05'25"""	39.608	"89°52'32"""	T	SS												
		1.45		403	"91°05'25"""	"89°36'22"""	0''	" 137° 4' 54"""	" 137° 4' 54"""	40.597  	40.592  	27.64  	0.00  	-29.73  	0.00  	0.44  	0.00  	9671.642   	9617.182   	21.935   	403				T									124	320	403	1.45	"91°05'25"""	40.597	"89°36'22"""	T	SS												
		1.45		404	"91°05'27"""	"89°42'45"""	0''	" 137° 4' 56"""	" 137° 4' 56"""	40.961  	40.955  	27.89  	0.00  	-29.99  	0.00  	0.49  	0.00  	9671.889   	9616.916   	21.987   	404				Ji									126	320	404	1.45	"91°05'27"""	40.961	"89°42'45"""	Ji	SS												
		1.45		405	"91°09'02"""	"89°45'13"""	0''	" 137° 8' 51"""	" 137° 8' 51"""	45.169  	45.163  	30.72  	0.00  	-33.11  	0.00  	0.52  	0.00  	9674.717   	9613.799   	22.019   	405				Ji									128	320	405	1.45	"91°09'02"""	45.169	"89°45'13"""	Ji	SS												
		1.45		406	"90°49'58"""	"89°32'22"""	0''	" 136° 8' 57"""	" 136° 8' 57"""	45.321  	45.315  	31.39  	0.00  	-32.68  	0.00  	0.56  	0.00  	9675.394   	9614.230   	22.062   	406				T									130	320	406	1.45	"90°49'58"""	45.321	"89°32'22"""	T	SS												
		1.45		407	"90°50'18"""	"89°32'23"""	0''	" 135° 59' 57"""	" 135° 59' 57"""	45.568  	45.562  	31.65  	0.00  	-32.77  	0.00  	0.57  	0.00  	9675.651   	9614.135   	22.065   	407				T									132	320	407	1.45	"90°50'18"""	45.568	"89°32'23"""	T	SS												
		1.45		408	"90°54'07"""	"90°00'22"""	0''	" 136° 3' 56"""	" 136° 3' 56"""	45.536  	45.536  	31.59  	0.00  	-32.79  	0.00  	-0.20  	0.00  	9675.596   	9614.116   	21.297   	408				T									134	320	408	1.45	"90°54'07"""	45.536	"90°00'22"""	T	SS												
		1.45		409	"90°37'05"""	"90°17'46"""	0''	" 136° 6' 54"""	" 136° 6' 54"""	45.758  	45.758  	31.72  	0.00  	-32.98  	0.00  	-0.29  	0.00  	9675.721   	9613.929   	21.203   	409				D									136	320	409	1.45	"90°37'05"""	45.758	"90°17'46"""	D	SS												
		1.45		410	"90°37'05"""	"90°17'29"""	0''	" 136° 6' 54"""	" 136° 6' 54"""	45.994  	45.994  	31.88  	0.00  	-33.15  	0.00  	-0.30  	0.00  	9675.885   	9613.759   	21.202   	410				D									138	320	410	1.45	"90°37'05"""	45.994	"90°17'29"""	D	SS												
		1.45		411	"90°43'04"""	"89°57'50"""	0''	" 136° 2' 53"""	" 136° 2' 53"""	46.275  	46.270  	32.11  	0.00  	-33.31  	0.00  	0.51  	0.00  	9676.115   	9613.598   	22.011   	411				T									140	320	411	1.45	"90°43'04"""	46.275	"89°57'50"""	T	SS												
		1.45		412	"90°31'02"""	"86°37'28"""	0''	" 136° 0' 51"""	" 136° 0' 51"""	51.144  	51.027  	35.44  	0.00  	-36.71  	0.00  	3.26  	0.00  	9679.438   	9610.194   	24.759   	412				C									142	320	412	1.45	"90°31'02"""	51.144	"86°37'28"""	C	SS												
		1.45		413	"90°34'28"""	"86°40'18"""	0''	" 136° 3' 57"""	" 136° 3' 57"""	61.798  	61.648  	42.77  	0.00  	-44.39  	0.00  	4.11  	0.00  	9686.774   	9602.514   	25.606   	413				C									144	320	413	1.45	"90°34'28"""	61.798	"86°40'18"""	C	SS												
		1.45		414	"11°45'07"""	"93°30'09"""	0''	" 57° 4' 56"""	" 57° 4' 56"""	19.479  	19.452  	16.33  	0.00  	10.57  	0.00  	-1.22  	0.00  	9660.330   	9657.479   	20.277   	414				DS.Gr									146	320	414	1.45	"11°45'07"""	19.479	"93°30'09"""	DS.Gr	SS												
		1.45		415	"10°44'07"""	"91°42'42"""	0''	" 56° 3' 56"""	" 56° 3' 56"""	19.018  	19.015  	15.78  	0.00  	10.61  	0.00  	-0.54  	0.00  	9659.777   	9657.523   	20.954   	415				TG.Gr									148	320	415	1.45	"10°44'07"""	19.018	"91°42'42"""	TG.Gr	SS												
		1.45		416	"354°14'43"""	"92°41'53"""	0''	" 40° 3' 52"""	" 40° 3' 52"""	19.194  	19.182  	12.35  	0.00  	14.68  	0.00  	-0.88  	0.00  	9656.348   	9661.589   	20.622   	416				DS.Gr									150	320	416	1.45	"354°14'43"""	19.194	"92°41'53"""	DS.Gr	SS												
		1.45		417	"355°17'42"""	"90°28'15"""	0''	" 41° 6' 51"""	" 41° 6' 51"""	18.635  	18.635  	12.25  	0.00  	14.04  	0.00  	-0.24  	0.00  	9656.255   	9660.948   	21.254   	417				TG.Gr									152	320	417	1.45	"355°17'42"""	18.635	"90°28'15"""	TG.Gr	SS												
		1.45		418	"188°39'22"""	"86°30'56"""	0''	" 234° 8' 51"""	" 234° 8' 51"""	46.435  	46.322  	-37.55  	0.00  	-27.13  	0.00  	3.04  	0.00  	9606.456   	9619.778   	24.535   	418				C									154	320	418	1.45	"188°39'22"""	46.435	"86°30'56"""	C	SS												
		1.45		419	"182°13'57"""	"90°12'05"""	0''	" 228° 2' 56"""	" 228° 2' 56"""	46.025  	46.025  	-34.23  	0.00  	-30.77  	0.00  	-0.23  	0.00  	9609.772   	9616.141   	21.269   	419				T									156	320	419	1.45	"182°13'57"""	46.025	"90°12'05"""	T	SS												
		1.45		K53	"180°14'42"""	"89°44'41"""	0''	" 226° 3' 51"""	" 226° 3' 51"""	45.737  	45.731  	-32.93  	0.00  	-31.73  	0.00  	0.54  	0.00  	9611.069   	9615.178   	22.042   	K53				K53									158	320	K53	1.45	"180°14'42"""	45.737	"89°44'41"""	K53	SS												
		1.45		421	"175°57'01"""	"90°17'58"""	0''	" 221° 6' 50"""	" 221° 6' 50"""	45.766  	45.766  	-30.09  	0.00  	-34.48  	0.00  	-0.29  	0.00  	9613.907   	9612.428   	21.202   	421				C									160	320	421	1.45	"175°57'01"""	45.766	"90°17'58"""	C	SS												
		1.45		422	"175°06'54"""	"90°39'27"""	0''	" 221° 5' 53"""	" 221° 5' 53"""	45.880  	45.880  	-30.16  	0.00  	-34.57  	0.00  	-0.32  	0.00  	9613.842   	9612.334   	21.176   	422				T1L									162	320	422	1.45	"175°06'54"""	45.88	"90°39'27"""	T1L	SS												
		1.45		423	"156°02'20"""	"94°32'48"""	0''	" 202° 1' 49"""	" 202° 1' 49"""	50.855  	50.729  	-19.03  	0.00  	-47.02  	0.00  	-3.78  	0.00  	9624.973   	9599.883   	17.718   	423				D1L									164	320	423	1.45	"156°02'20"""	50.855	"94°32'48"""	D1L	SS												
		1.45		424	"146°31'05"""	"94°01'59"""	0''	" 192° 0' 54"""	" 192° 0' 54"""	56.301  	56.163  	-11.69  	0.00  	-54.93  	0.00  	-4.15  	0.00  	9632.310   	9591.976   	17.351   	424				D1L									166	320	424	1.45	"146°31'05"""	56.301	"94°01'59"""	D1L	SS												
		1.45		425	"141°55'11"""	"91°54'23"""	0''	" 187° 4' 50"""	" 187° 4' 50"""	59.138  	59.128  	-7.29  	0.00  	-58.68  	0.00  	-1.30  	0.00  	9636.713   	9588.232   	20.196   	425				T1L									168	320	425	1.45	"141°55'11"""	59.138	"91°54'23"""	T1L	SS												
		1.45		426	"139°17'05"""	"89°59'41"""	0''	" 185° 6' 54"""	" 185° 6' 54"""	60.901  	60.894  	-5.43  	0.00  	-60.65  	0.00  	0.70  	0.00  	9638.572   	9586.257   	22.201   	426				T1L									170	320	426	1.45	"139°17'05"""	60.901	"89°59'41"""	T1L	SS												
		1.45		427	"138°31'53"""	"89°41'11"""	0''	" 184° 0' 52"""	" 184° 0' 52"""	61.665  	61.656  	-4.32  	0.00  	-61.50  	0.00  	0.86  	0.00  	9639.685   	9585.404   	22.355   	427				11T									172	320	427	1.45	"138°31'53"""	61.665	"89°41'11"""	11T	SS												
		1.45		428	"138°13'17"""	"89°45'27"""	0''	" 184° 2' 56"""	" 184° 2' 56"""	61.872  	61.864  	-4.37  	0.00  	-61.71  	0.00  	0.79  	0.00  	9639.633   	9585.199   	22.285   	428				T									174	320	428	1.45	"138°13'17"""	61.872	"89°45'27"""	T	SS												
		1.45		429	"135°35'38"""	"89°49'26"""	0''	" 181° 4' 57"""	" 181° 4' 57"""	64.606  	64.599  	-1.22  	0.00  	-64.59  	0.00  	0.76  	0.00  	9642.781   	9582.321   	22.254   	429				Ji									176	320	429	1.45	"135°35'38"""	64.606	"89°49'26"""	Ji	SS												
		1.45		430	"135°23'08"""	"89°38'13"""	0''	" 181° 2' 57"""	" 181° 2' 57"""	64.799  	64.792  	-1.19  	0.00  	-64.78  	0.00  	0.78  	0.00  	9642.815   	9582.128   	22.277   	430				11T									178	320	430	1.45	"135°23'08"""	64.799	"89°38'13"""	11T	SS												
		1.45		431	"135°22'33"""	"89°38'14"""	0''	" 181° 1' 52"""	" 181° 1' 52"""	64.798  	64.791  	-1.17  	0.00  	-64.78  	0.00  	0.78  	0.00  	9642.835   	9582.128   	22.276   	431				T									180	320	431	1.45	"135°22'33"""	64.798	"89°38'14"""	T	SS												
		1.45		432	"135°17'08"""	"89°38'13"""	0''	" 181° 6' 57"""	" 181° 6' 57"""	65.009  	65.002  	-1.27  	0.00  	-64.99  	0.00  	0.78  	0.00  	9642.735   	9581.919   	22.280   	432				T									182	320	432	1.45	"135°17'08"""	65.009	"89°38'13"""	T	SS												
		1.45		433	"135°16'10"""	"90°10'33"""	0''	" 181° 5' 49"""	" 181° 5' 49"""	64.952  	64.952  	-1.24  	0.00  	-64.94  	0.00  	-0.20  	0.00  	9642.758   	9581.968   	21.296   	433				T									184	320	433	1.45	"135°16'10"""	64.952	"90°10'33"""	T	SS												
		1.45		434	"135°10'12"""	"90°19'18"""	0''	" 180° 59' 51"""	" 180° 59' 51"""	65.131  	65.131  	-1.13  	0.00  	-65.12  	0.00  	-0.37  	0.00  	9642.867   	9581.787   	21.124   	434				D									186	320	434	1.45	"135°10'12"""	65.131	"90°19'18"""	D	SS												
		1.45		435	"135°02'04"""	"90°21'32"""	0''	" 181° 1' 53"""	" 181° 1' 53"""	65.322  	65.322  	-1.18  	0.00  	-65.31  	0.00  	-0.22  	0.00  	9642.825   	9581.597   	21.278   	435				D									188	320	435	1.45	"135°02'04"""	65.322	"90°21'32"""	D	SS												
		1.45		436	"134°46'54"""	"89°55'18"""	0''	" 180° 5' 53"""	" 180° 5' 53"""	65.564  	65.556  	-0.11  	0.00  	-65.56  	0.00  	0.85  	0.00  	9643.889   	9581.353   	22.344   	436				T									190	320	436	1.45	"134°46'54"""	65.564	"89°55'18"""	T	SS												
		1.45		437	"130°55'32"""	"87°03'11"""	0''	" 176° 4' 51"""	" 176° 4' 51"""	70.000  	69.907  	4.78  	0.00  	-69.74  	0.00  	3.40  	0.00  	9648.779   	9577.165   	24.900   	437				C									192	320	437	1.45	"130°55'32"""	70	"87°03'11"""	C	SS												
		1.45		438	"127°20'22"""	"87°25'42"""	0''	" 172° 59' 51"""	" 172° 59' 51"""	77.345  	77.245  	9.42  	0.00  	-76.67  	0.00  	3.73  	0.00  	9653.418   	9570.240   	25.232   	438				C									194	320	438	1.45	"127°20'22"""	77.345	"87°25'42"""	C	SS												
		1.45		K54	"179°47'21"""	"89°55'40"""	0''	" 225° 6' 50"""	" 225° 6' 50"""	99.528  	99.515  	-70.51  	0.00  	-70.23  	0.00  	1.39  	0.00  	9573.493   	9576.680   	22.890   	K54				K54									196	320	K54	1.45	"179°47'21"""	99.528	"89°55'40"""	K54	SS												
		1.45		K55	"179°44'39"""	"89°55'33"""	0''	" 225° 3' 58"""	" 225° 3' 58"""	151.997  	151.978  	-107.59  	0.00  	-107.34  	0.00  	2.23  	-2.73  	9536.413   	9539.568   	21.000   	K55	P			K55									198	320	K55	1.45	"179°44'39"""	151.997	"89°55'33"""	K55	SS												
																																																						
																																																						
Jumlah											653.4015875	-463.5872154	0	-460.4319832	0	2.75759751	-11.7236																																					
																																																						
"Salah Penutup sdt = 0° 0' 0"""		0	""""																																																			
Koreksi tiap titik =		0	""""												Toleransi Koreksi Jarak		10	ÖD     =	8.083325971	mm																																		
Toleransi sudut ijin =		10	Ön  =	22.36067977	""""										Koreksi Jarak Hasil Pengukuran			=	1.81899E-09	mm																																		
Toleransi sudut :		masuk													Memenuhi/tidak memenuhi		=	Memenuhi																																				
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
