Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		1.45		49	"130°18'33"""	"93°40'43"""	0''	" 175° 58' 55"""	" 175° 58' 55"""	78.086  	77.979  	5.46  	0.00  	-77.79  	0.00  	-4.36  	0.00  	10005.464   	9922.213   	25.603   	49				Ji									94	1	49	1.45	"130°18'33"""	78.086	"93°40'43"""	Ji	SS												
		1.45		50	"132°28'33"""	"93°48'10"""	0''	" 177° 58' 55"""	" 177° 58' 55"""	75.004  	74.892  	2.64  	0.00  	-74.85  	0.00  	-4.37  	0.00  	10002.637   	9925.155   	25.591   	50				Ji									96	1	50	1.45	"132°28'33"""	75.004	"93°48'10"""	Ji	SS												
		1.45		51	"132°43'03"""	"93°46'57"""	0''	" 177° 53' 55"""	" 177° 53' 55"""	74.834  	74.724  	2.74  	0.00  	-74.67  	0.00  	-4.32  	0.00  	10002.740   	9925.326   	25.642   	51				C									98	1	51	1.45	"132°43'03"""	74.834	"93°46'57"""	C	SS												
		1.45		52	"133°57'36"""	"94°32'38"""	0''	" 178° 57' 58"""	" 178° 57' 58"""	73.221  	73.039  	1.32  	0.00  	-73.03  	0.00  	-5.43  	0.00  	10001.318   	9926.972   	24.538   	52				T1L									100	1	52	1.45	"133°57'36"""	73.221	"94°32'38"""	T1L	SS												
		2.5		53	"155°23'00"""	"98°19'03"""	0''	" 200° 53' 52"""	" 200° 53' 52"""	56.502  	55.931  	-19.95  	0.00  	-52.25  	0.00  	-9.34  	0.00  	9980.049   	9947.748   	20.630   	53				D1L									102	1	53	2.5	"155°23'00"""	56.502	"98°19'03"""	D1L	SS												
		2.5		54	"145°42'32"""	"97°37'13"""	0''	" 190° 52' 54"""	" 190° 52' 54"""	61.970  	61.492  	-11.61  	0.00  	-60.39  	0.00  	-9.00  	0.00  	9988.391   	9939.613   	20.963   	54				D1L									104	1	54	2.5	"145°42'32"""	61.97	"97°37'13"""	D1L	SS												
		2.5		55	"137°02'36"""	"96°47'12"""	0''	" 182° 52' 58"""	" 182° 52' 58"""	69.700  	69.303  	-3.49  	0.00  	-69.22  	0.00  	-8.75  	0.00  	9996.515   	9930.785   	21.214   	55				D1L									106	1	55	2.5	"137°02'36"""	69.7	"96°47'12"""	D1L	SS												
		2.5		56	"167°03'10"""	"94°22'51"""	0''	" 212° 53' 52"""	" 212° 53' 52"""	105.149  	104.889  	-56.97  	0.00  	-88.07  	0.00  	-8.72  	0.00  	9943.031   	9911.931   	21.245   	56				D1L									108	1	56	2.5	"167°03'10"""	105.149	"94°22'51"""	D1L	SS												
		2.5		57	"161°13'08"""	"94°19'51"""	0''	" 206° 53' 60"""	" 206° 54' 0"""	108.137  	107.853  	-48.80  	0.00  	-96.18  	0.00  	-9.15  	0.00  	9951.203   	9903.817   	20.815   	57				D1L									110	1	57	2.5	"161°13'08"""	108.137	"94°19'51"""	D1L	SS												
		2.5		58	"155°16'01"""	"94°10'23"""	0''	" 200° 56' 53"""	" 200° 56' 53"""	112.725  	112.450  	-40.20  	0.00  	-105.02  	0.00  	-9.19  	0.00  	9959.797   	9894.982   	20.776   	58				D1L									112	1	58	2.5	"155°16'01"""	112.725	"94°10'23"""	D1L	SS												
